Country,Carbon_Intensity_gCO2kWh
Canada,363.316
Mexico,363.316
United States,363.316
Argentina,186.405643
Bolivia,186.405643
Brazil,186.405643
Chile,186.405643
Colombia,186.405643
Costa Rica,186.405643
Cuba,186.405643
Curacao,186.405643
Dominican Republic,186.405643
Ecuador,186.405643
El Salvador,186.405643
Guatemala,186.405643
Haiti,186.405643
Honduras,186.405643
Jamaica,186.405643
Nicaragua,186.405643
Panama,186.405643
Paraguay,186.405643
Peru,186.405643
Suriname,186.405643
Trinidad and Tobago,186.405643
Uruguay,186.405643
Venezuela,186.405643
Albania,300.277
Austria,300.277
Belarus,300.277
Belgium,300.277
Bosnia and Herzegovina,300.277
Bulgaria,300.277
Croatia,300.277
Cyprus,300.277
Czechia,300.277
Denmark,300.277
Estonia,300.277
Finland,300.277
France,300.277
Germany,300.277
Gibraltar,300.277
Greece,300.277
Hungary,300.277
Iceland,300.277
Ireland,300.277
Israel,300.277
Italy,300.277
Kosovo,300.277
Latvia,300.277
Lithuania,300.277
Luxembourg,300.277
Malta,300.277
Moldova,300.277
Montenegro,300.277
North Macedonia,300.277
Norway,300.277
Poland,300.277
Portugal,300.277
Romania,300.277
Serbia,300.277
Slovak Republic,300.277
Slovenia,300.277
Spain,300.277
Sweden,300.277
Switzerland,300.277
Netherlands,300.277
Türkiye,300.277
Ukraine,300.277
United Kingdom,300.277
Algeria,541.355
Angola,541.355
Benin,541.355
Botswana,541.355
Burkina Faso,541.355
Burundi,541.355
Cabo Verde,541.355
Cameroon,541.355
Central African Republic,541.355
Chad,541.355
Comoros,541.355
Congo,541.355
Cote D’Ivoire,541.355
Democratic Republic of the Congo,541.355
Djibouti,541.355
Egypt,541.355
Equatorial Guinea,541.355
Eritrea,541.355
Eswatini,541.355
Ethiopia,541.355
Gabon,541.355
Gambia,541.355
Ghana,541.355
Guinea,541.355
Guinea-Bissau,541.355
Kenya,541.355
Lesotho,541.355
Liberia,541.355
Libya,541.355
Madagascar,541.355
Malawi,541.355
Mali,541.355
Mauritania,541.355
Mauritius,541.355
Morocco,541.355
Mozambique,541.355
Namibia,541.355
Niger,541.355
Nigeria,541.355
Rwanda,541.355
Sao Tome and Principe,541.355
Senegal,541.355
Seychelles,541.355
Sierra Leone,541.355
Somalia,541.355
South Africa,541.355
South Sudan,541.355
Sudan,541.355
Tanzania,541.355
Togo,541.355
Tunisia,541.355
Uganda,541.355
Zambia,541.355
Zimbabwe,541.355
Bahrain,641.222
Iran,641.222
Iraq,641.222
Jordan,641.222
Kuwait,641.222
Lebanon,641.222
Oman,641.222
Qatar,641.222
Saudi Arabia,641.222
Syria,641.222
United Arab Emirates,641.222
Yemen,641.222
Australia,542.5765
Bangladesh,542.5765
Brunei,542.5765
Cambodia,542.5765
China,542.5765
Hong Kong,542.5765
India,542.5765
Indonesia,542.5765
Japan,542.5765
Korea,542.5765
Laos,542.5765
Malaysia,542.5765
Mongolia,542.5765
Myanmar,542.5765
Nepal,542.5765
New Zealand,542.5765
Pakistan,542.5765
Philippines,542.5765
Singapore,542.5765
Sri Lanka,542.5765
Taiwan,542.5765
Thailand,542.5765
Vietnam,542.5765
